,Rank,Release Date,Movie Title,Production Budget ($),Worldwide Gross ($),Domestic Gross ($)
340,4041,8/27/1982,Jekyll and Hyde... Together Again,5000000,3707583,"$3,707,583"
341,2688,9/7/1982,Tron,17000000,26918576,"$26,918,576"
342,1158,9/17/1982,Inchon,46000000,4408636,"$4,408,636"
343,3179,10/2/1982,Das Boot,12000000,84970337,"$11,487,676"
344,3616,10/11/1982,Creepshow,8000000,20036244,"$20,036,244"
345,2968,10/22/1982,First Blood,14000000,125212904,"$47,212,904"
346,4475,10/22/1982,Halloween 3: Season of the Witch,2500000,14400000,"$14,400,000"
347,3294,11/6/1982,ET: The Extra-Terrestrial,10500000,792965326,"$435,110,554"
348,4808,11/19/1982,Q,1200000,255000,"$255,000"
349,3099,12/2/1982,La Guerre du feu,12500000,20959585,"$20,959,585"
350,2790,12/17/1982,Tootsie,15000000,177200000,"$177,200,000"
351,5131,1/1/1983,E tu vivrai nel terrore - L'aldilà,400000,126387,"$126,387"
352,3300,2/18/1983,Lovesick,10100000,10143618,"$10,143,618"
353,3129,3/6/1983,WarGames,12000000,74433837,"$74,433,837"
354,3350,3/25/1983,The Outsiders,10000000,25697647,"$25,697,647"
355,3903,4/2/1983,Videodrome,5952000,2120439,"$2,120,439"
356,3711,4/15/1983,Flashdance,7000000,201463574,"$90,463,574"
357,4012,4/15/1983,Lone Wolf McQuade,5000000,12232628,"$12,232,628"
358,5142,4/15/1983,The Evil Dead,375000,29400000,"$2,400,000"
359,1657,5/25/1983,Star Wars Ep. VI: Return of the Jedi,32500000,572705079,"$309,205,079"
360,1437,6/17/1983,Superman III,39000000,59950623,"$59,950,623"
361,3342,6/24/1983,Twilight Zone: The Movie,10000000,29500000,"$29,500,000"
362,1493,7/10/1983,Never Say Never Again,36000000,160000000,"$55,500,000"
363,2808,7/29/1983,National Lampoon’s Vacation,15000000,61400000,"$61,400,000"
364,3763,8/4/1983,Losin' It,7000000,1246141,"$1,246,141"
365,4767,8/19/1983,The Ballad of Gregorio Cortez,1305000,909000,"$909,000"
366,2048,9/12/1983,Scarface,25000000,44942821,"$44,942,821"
367,2896,9/30/1983,Brainstorm,15000000,8921050,"$8,921,050"
368,1929,10/6/1983,Octopussy,27500000,187500000,"$67,900,000"
369,1949,10/21/1983,The Right Stuff,27000000,21500000,"$21,500,000"
